scenario,filename,closeness,rank
base,1.png,0.4573,5
base,2.png,0.2434,6
base,3.png,0.1745,7
base,4.png,0.0289,8
base,5.jpg,0.9867,1
base,6.jpg,0.7945,3
base,7.jpg,0.8392,2
base,8.jpg,0.4977,4
eta_0.5,1.png,0.4562,5
eta_0.5,2.png,0.2364,6
eta_0.5,3.png,0.1724,7
eta_0.5,4.png,0.028,8
eta_0.5,5.jpg,0.9891,1
eta_0.5,6.jpg,0.7928,3
eta_0.5,7.jpg,0.8349,2
eta_0.5,8.jpg,0.4833,4
eta_0.7,1.png,0.4584,5
eta_0.7,2.png,0.2505,6
eta_0.7,3.png,0.1766,7
eta_0.7,4.png,0.0301,8
eta_0.7,5.jpg,0.9842,1
eta_0.7,6.jpg,0.7962,3
eta_0.7,7.jpg,0.8436,2
eta_0.7,8.jpg,0.5127,4
ahp_perturbed,1.png,0.4592,5
ahp_perturbed,2.png,0.2607,6
ahp_perturbed,3.png,0.1786,7
ahp_perturbed,4.png,0.0239,8
ahp_perturbed,5.jpg,0.9899,1
ahp_perturbed,6.jpg,0.7996,3
ahp_perturbed,7.jpg,0.851,2
ahp_perturbed,8.jpg,0.5363,4
no_semantic,1.png,0.4567,5
no_semantic,2.png,0.2432,6
no_semantic,3.png,0.1737,7
no_semantic,4.png,0.023,8
no_semantic,5.jpg,1.0,1
no_semantic,6.jpg,0.7951,3
no_semantic,7.jpg,0.8396,2
no_semantic,8.jpg,0.4981,4
equal_weights,1.png,0.4571,4
equal_weights,2.png,0.2104,6
equal_weights,3.png,0.171,7
equal_weights,4.png,0.0563,8
equal_weights,5.jpg,0.963,1
equal_weights,6.jpg,0.7813,3
equal_weights,7.jpg,0.8157,2
equal_weights,8.jpg,0.4257,5
