frame_idx,timestamp,ssim_loss,frame_diff_mean,brightness_delta,saturation_delta,optical_flow_magnitude_mean,optical_flow_angle_change,warp_ssim_loss,z_ssim_loss,z_frame_diff_mean,z_brightness_delta,z_saturation_delta,z_optical_flow_magnitude_mean,z_optical_flow_angle_change,z_warp_ssim_loss,instability_score,is_anomaly
1,0.04166666694214876,0.0814551036829152,4.248674286265432,0.7029427083333246,0.7361559606481478,1.1252214,1.0008781,0.13597183638242416,0.0,0.07799161043065204,2.027661719472317,0.6895971332642001,0.3012885363214348,0.05027302166899613,0.0,0.3181746693044057,False
2,0.08333333388429752,0.08200431200001812,4.0702359825102885,0.6128250385802545,1.2366599151234539,1.0215331,1.3228165,0.1386262900021652,0.0,0.0,1.619162054014607,2.035009758411895,0.0,0.8904311076298032,0.0,0.39595147468479663,False
3,0.1250000008264463,0.06847452896149708,3.582889017489712,0.29003375771604567,0.10143807870370836,0.9608993,0.8653113,0.11429051795488698,0.0,0.0,0.15596254378533939,0.0,0.0,0.0,0.0,0.015596254378533939,False
4,0.16666666776859504,0.046681025755988315,2.563339602623457,0.0050892168209912825,0.11764467592593064,0.7677123,1.6220809,0.06386052666886555,0.0,0.0,0.0,0.0,0.0,1.6714172685202084,0.0,0.13371338148161668,False
5,0.2083333347107438,0.1312705143099142,5.635316197273663,0.038470293209869055,0.2845466820987639,1.288359,1.06672,0.20546946232739205,1.0278027921505908,1.0799394075326445,0.0,0.0,0.9095445998902825,0.22209973312325557,0.9818928025110434,0.7619884907657146,False
6,0.2500000016528926,0.14403039707551324,6.043140753600823,0.4688257137345744,0.865496720679019,1.4635981,0.6295998,0.21878330014618308,1.338395040030505,1.374621771142286,0.9664190771180869,1.037280083490157,1.562920573051346,0.0,1.2040915956294014,1.1811303413564125,True
7,0.2916666685950413,0.09204045938814798,4.503496174125514,0.6399435763888874,1.2204812885802454,1.1949143,0.84614444,0.14530773041376344,0.07289190727524313,0.2621186205605692,1.7420892629946352,1.9915197355776075,0.5611375954183898,0.0,0.0,0.4753073398057026,False
8,0.3333333355371901,0.06955213086381262,3.71921875,0.20270206404320845,0.45445457175925696,1.0473382,0.8457852,0.11029359623427137,0.0,0.0,0.0,0.0,0.010902622518492574,0.0,0.0,0.0015263671525889606,False
9,0.37500000247933885,0.06949414346761706,3.2934960133744857,0.07437596450617434,0.6292409336419809,0.9875001,2.6446052,0.11363793548132006,0.0,0.0,0.0,0.4021971519735412,0.0,4.339884336585649,0.0,0.37936651908473523,False
10,0.4166666694214876,0.04860466736969482,2.6946322016460904,0.24805893132715084,1.1117703510802386,0.79526144,1.9816593,0.07231734739294238,0.0,0.0,0.0,1.6992921387797335,0.0,2.609803867307859,0.0,0.3447276804870074,False
